"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"State Measures Initiative Measure No. 1433 concerns labor standards.","Yes","","75510","57.2523","State Executive"
"State Measures Initiative Measure No. 1433 concerns labor standards.","No","","56380","42.7477","State Executive"
"State Measures Initiative Measure No. 1464 concerns campaign finance laws and lobbyists.","Yes","","58761","46.8514","State Executive"
"State Measures Initiative Measure No. 1464 concerns campaign finance laws and lobbyists.","No","","66659","53.1486","State Executive"
"State Measures Initiative Measure No. 1491 concerns court-issued extreme risk protection orders temporarily preventing access to firearms.","Yes","","89147","68.3826","State Executive"
"State Measures Initiative Measure No. 1491 concerns court-issued extreme risk protection orders temporarily preventing access to firearms.","No","","41218","31.6174","State Executive"
"State Measures Initiative Measure No. 1501 concerns seniors and vulnerable individuals.","Yes","","94830","73.3609","State Executive"
"State Measures Initiative Measure No. 1501 concerns seniors and vulnerable individuals.","No","","34435","26.6391","State Executive"
"State Measures Initiative Measure No. 732 concerns taxes.","Yes","","50111","39.291","State Executive"
"State Measures Initiative Measure No. 732 concerns taxes.","No","","77427","60.709","State Executive"
"State Measures Initiative Measure No. 735 concerns a proposed amendment to the federal constitution.","Yes","","80351","64.3441","State Executive"
"State Measures Initiative Measure No. 735 concerns a proposed amendment to the federal constitution.","No","","44526","35.6559","State Executive"
"Advisory Votes Advisory Vote No. 14 House Bill 2768","Repealed","","81143","68.0325","State Executive"
"Advisory Votes Advisory Vote No. 14 House Bill 2768","Maintained","","38128","31.9675","State Executive"
"Advisory Votes Advisory Vote No. 15 Second Engrossed Substitute House Bill 2778","Repealed","","71169","59.7587","State Executive"
"Advisory Votes Advisory Vote No. 15 Second Engrossed Substitute House Bill 2778","Maintained","","47925","40.2413","State Executive"
"Proposed Constitutional Amendments Senate Joint Resolution No. 8210 concerns the deadline for completing state legislative and congressional redistricting.","Approved","","93416","77.92","State Executive"
"Proposed Constitutional Amendments Senate Joint Resolution No. 8210 concerns the deadline for completing state legislative and congressional redistricting.","Rejected","","26471","22.08","State Executive"
"United States President/Vice President","Hillary Clinton / Tim Kaine","Democratic Party Nominees","68798","53.1628","Federal"
"United States President/Vice President","Donald J. Trump / Michael R. Pence","Republican Party Nominees","48624","37.5736","Federal"
"United States President/Vice President","Alyson Kennedy / Osborne Hart","Socialist Workers Party Nominees","203","0.1569","Federal"
"United States President/Vice President","Gloria Estela La Riva / Eugene Puryear","Socialism &amp; Liberation Party Nominees","187","0.1445","Federal"
"United States President/Vice President","Jill Stein / Ajamu Baraka","Green Party Nominees","3584","2.7695","Federal"
"United States President/Vice President","Darrell L. Castle / Scott N. Bradley","Constitution Party Nominees","708","0.5471","Federal"
"United States President/Vice President","Gary Johnson / Bill Weld","Libertarian Party Nominees","7306","5.6456","Federal"
"United States U.S. Senator","Patty Murray","(Prefers Democratic Party)","78158","59.7625","Federal"
"United States U.S. Senator","Chris Vance","(Prefers Republican Party)","52623","40.2375","Federal"
"Congressional District 3 U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)","3520","64.1984","Congressional"
"Congressional District 3 U.S. Representative","Jim Moeller","(Prefers Democratic Party)","1963","35.8016","Congressional"
"Congressional District 10 U.S. Representative","Denny Heck","(Prefers Democratic Party)","76604","62.6859","Congressional"
"Congressional District 10 U.S. Representative","Jim Postma","(Prefers Republican Party)","45599","37.3141","Congressional"
"Washington State Governor","Jay Inslee","(Prefers Democratic Party)","71835","54.8992","State Executive"
"Washington State Governor","Bill Bryant","(Prefers Republican Party)","59014","45.1008","State Executive"
"Washington State Lt. Governor","Cyrus Habib","(Prefers Democratic Party)","69735","55.2133","State Executive"
"Washington State Lt. Governor","Marty McClendon","(Prefers Republican Party)","56566","44.7867","State Executive"
"Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","77292","60.3679","State Executive"
"Washington State Secretary of State","Tina Podlodowski","(Prefers Democratic Party)","50743","39.6321","State Executive"
"Washington State State Treasurer","Duane Davidson","(Prefers Republican Party)","61579","55.8945","State Executive"
"Washington State State Treasurer","Michael Waite","(Prefers Republican Party)","48591","44.1055","State Executive"
"Washington State State Auditor","Mark Miloscia","(Prefers Republican Party)","56918","45.9576","State Executive"
"Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","66931","54.0424","State Executive"
"Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","83338","68.2075","State Executive"
"Washington State Attorney General","Joshua B. Trumbull","(Prefers Libertarian Party)","38845","31.7925","State Executive"
"Washington State Commissioner of Public Lands","Steve McLaughlin","(Prefers Republican Party)","57619","46.1639","State Executive"
"Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","67195","53.8361","State Executive"
"Washington State Superintendent of Public Instruction","Erin Jones","","45776","40.2462","State Executive"
"Washington State Superintendent of Public Instruction","Chris Reykdal","","67964","59.7538","State Executive"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","77425","62.1533","State Executive"
"Washington State Insurance Commissioner","Richard Schrock","(Prefers Republican Party)","47146","37.8467","State Executive"
"Legislative District 2 State Senator","Randi Becker","(Prefers Republican Party)","12582","57.0871","Legislative"
"Legislative District 2 State Senator","Marilyn Rasmussen","(Prefers Democratic Party)","9458","42.9129","Legislative"
"Legislative District 2 State Representative Pos. 1","Andrew Barkis","(Prefers Republican Party)","12013","55.3875","Legislative"
"Legislative District 2 State Representative Pos. 1","Amy Pivetta Hoffman","(Prefers Independent Dem. Party)","9676","44.6125","Legislative"
"Legislative District 2 State Representative Pos. 2","JT Wilcox","(Prefers Republican Party)","13559","61.6318","Legislative"
"Legislative District 2 State Representative Pos. 2","Derek Maynes","(Prefers Democratic Party)","8441","38.3682","Legislative"
"Legislative District 20 State Senator","John Braun","(Prefers Republican Party)","8573","100","Legislative"
"Legislative District 20 State Representative Pos. 1","Richard DeBolt","(Prefers GOP Party)","8198","100","Legislative"
"Legislative District 20 State Representative Pos. 2","Ed Orcutt","(Prefers Republican Party)","8485","100","Legislative"
"Legislative District 22 State Senator","Sam Hunt","(Prefers Democratic Party)","45882","66.6231","Legislative"
"Legislative District 22 State Senator","Steve Owens","(States No Party Preference)","22986","33.3769","Legislative"
"Legislative District 22 State Representative Pos. 1","Laurie Dolan","(Prefers Democratic Party)","46088","66.3203","Legislative"
"Legislative District 22 State Representative Pos. 1","Donald Austin","(Prefers Republican Party)","23405","33.6797","Legislative"
"Legislative District 22 State Representative Pos. 2","Beth Doglio","(Prefers Democratic Party)","52053","100","Legislative"
"Legislative District 35 State Representative Pos. 1","Dan Griffey","(Prefers Republican Party)","10991","53.148","Legislative"
"Legislative District 35 State Representative Pos. 1","Irene Bowling","(Prefers Independent Dem. Party)","9689","46.852","Legislative"
"Legislative District 35 State Representative Pos. 2","Drew C. MacEwen","(Prefers Republican Party)","10399","50.7268","Legislative"
"Legislative District 35 State Representative Pos. 2","Craig Patti","(Prefers Independent Dem. Party)","10101","49.2732","Legislative"
"County of Thurston Commissioner, District No. 1","Jim Cooper","(Prefers Democratic Party)","57596","48.212","County"
"County of Thurston Commissioner, District No. 1","John (Hutch) Hutchings","(Prefers Independent Party)","61868","51.788","County"
"County of Thurston Commissioner, District No. 2","Gary Edwards","(States No Party Preference)","65500","53.6454","County"
"County of Thurston Commissioner, District No. 2","Kelsey Hulse","(Prefers Democratic Party)","56598","46.3546","County"
"Supreme Court Justice Position 1","Mary Yu","","67578","58.7993","Judicial"
"Supreme Court Justice Position 1","David DeWolf ","","47352","41.2007","Judicial"
"Supreme Court Justice Position 5","Barbara Madsen","","71098","62.6215","Judicial"
"Supreme Court Justice Position 5","Greg Zempel","","42438","37.3785","Judicial"
"Supreme Court Justice Position 6","Charles (Charlie) Wiggins","","68659","61.6616","Judicial"
"Supreme Court Justice Position 6","Dave Larson","","42689","38.3384","Judicial"
"Thurston Superior Court Judge Position 1","Chris Lanese","","56221","50.5439","Judicial"
"Thurston Superior Court Judge Position 1","Laura M. Murphy","","55011","49.4561","Judicial"
"Thurston Superior Court Judge Position 7","John C. Skinder","","58984","54.6634","Judicial"
"Thurston Superior Court Judge Position 7","Jim Foley","","48920","45.3366","Judicial"
"Thurston Public Utility District Commissioner, District No. 2","Russ Olsen","","88428","100","Public Utility"
"City of Tumwater Advisory Fireworks Ban ","Yes","","5658","50.347","City/Town"
"City of Tumwater Advisory Fireworks Ban ","No","","5580","49.653","City/Town"
"City of Olympia Initiative No. 1 ","Yes","","12480","47.7795","City/Town"
"City of Olympia Initiative No. 1 ","No","","13640","52.2205","City/Town"
